state,department_name,address,phone,site
California,Sacramento County Sheriff's Department,"711 G Street Sacramento, CA 95814",916-874-5115,www.sacsheriff.com
California,Sacramento Police Department,"5770 Freeport Boulevard Sacramento, CA 95822",916-264-5471,www.sacpd.org
California,Salinas Police Department,"222 Lincoln Avenue Salinas, CA 93901",831-758-7090,www.salinaspd.com
California,San Anselmo Police Department,"525 San Anselmo Avenue San Anselmo, CA 94960",415-258-4610,NA
California,San Benito County Marshal's Office,"440 5th Street Hollister, CA 95023",831-636-4028,www.san-benito.ca.us
California,San Benito County Sheriff's Office,"451 Fourth Street Hollister, CA 95023",831-636-4080,www.sbcsheriff.org
California,San Bernardino County Sheriff's Department,"655 E Third Street San Bernardino, CA 92415",909-387-3648,NA
California,San Bernardino Police Department,"710 North D Street San Bernardino, CA 92401",909-384-5742,www.ci.san-bernardino.ca.us
California,San Bruno Police Department,"1177 Huntington Avenue San Bruno, CA 94066",650-616-7100,sanbruno.ca.gov
California,San Carlos Police Department,"600 Elm Street San Carlos, CA 94070",650-802-4277,NA
California,San Clemente Police Department,"100 Presidio Avenue San Clemente, CA 92672",949-770-6011,NA
California,San Diego County Sheriff's Department,"9621 Ridgehaven Ct San Diego, CA 92123",858-974-2222,www.sdsheriff.net
California,San Diego Harbor Police Department,"3380 N Harbor Drive San Diego, CA 92101",619-686-6570,NA
California,San Diego Police Department,"1401 Broadway San Diego, CA 92101",619-531-2000,www.sandiego.gov
California,San Diego State University Police Department,"5500 Campanile Drive San Diego, CA 92182",619-594-1991,www.dps.sdsu.edu
California,San Fernando Police Department,"910 First Street San Fernando, CA 91340",818-898-1267,www.ci.san-fernando.ca.us
California,San Francisco Police Department,"850 Bryant Street San Francisco, CA 94103",415-553-0123,sf-police.org
California,San Francisco Sheriff's Department,"1 Carlton Goodlett Place San Francisco, CA 94102",415-554-7225,www.sfsheriff.com
California,San Francisco State University Police Department,"1600 Holloway Avenue San Francisco, CA 94132",415-338-7200,www.sfsu.edu
California,San Gabriel Police Department,"625 Del Mar Avenue San Gabriel, CA 91776",626-308-2828,www.sgpd.com
California,San Jacinto Police Department,"160 W Sixth Street San Jacinto, CA 92583",951-654-2702,www.san-jacinto.ca.us
California,San Joaquin County Sheriff's Office,"7000 Michael Canlis Boulevard French Camp, CA 95231",209-468-4400,www.co.san-joaquin.ca.us
California,San Jose Police Department,"201 W Mission Street San Jose, CA 95110",408-277-8900,www.sjpd.org
California,San Jose State University Police Department,"One Washington Sq San Jose, CA 95192",408-924-2222,NA
California,San Leandro Police Department,"901 E 14th Street San Leandro, CA 94577",510-577-2740,NA
California,San Luis Obispo County Sheriff's Department,"1585 Kansas Avenue San Luis Obispo, CA 93406",805-781-4550,www.slosheriff.org
California,San Luis Obispo Police Department,"1042 Walnut Street San Luis Obispo, CA 93401",805-781-7317,NA
California,San Marino Police Department,"2200 Huntington Drive San Marino, CA 91108",626-300-0720,NA
California,San Mateo County Sheriff's Office,"400 County Center Redwood City, CA 94063",650-363-4911,www.co.sanmateo.ca.us
California,San Mateo Police Department,"200 Franklin Pkwy San Mateo, CA 94403",650-522-7710,www.cityofsanmateo.org
California,San Pablo Police Department,"13880 San Pablo Avenue San Pablo, CA 94806",510-215-3130,www.sanpablopolice.org
California,San Rafael Police Department,"1400 Fifth Avenue San Rafael, CA 94901",415-485-3000,NA
California,San Ramon Police Department,"2220 Camino Ramon San Ramon, CA 94583",925-973-2779,www.ci.san-ramon.ca.us
California,Sand City Police Department,"1 Sylvan Way Sand City, CA 93955",831-394-1451,www.sandcity.org
California,Sanger Police Department,"1700 7th Street Sanger, CA 93657",559-875-8521,NA
California,Santa Ana Police Department,"60 Civic Center Plaza Santa Ana, CA 92701",714-245-8665,www.ci.santa-ana.ca.us
California,Santa Barbara County Sheriff's Department,"4434 Calle Real Santa Barbara, CA 93110",805-681-4100,www.sbsheriff.org
California,Santa Barbara Police Department,"215 E Figueroa Street Santa Barbara, CA 93101",805-897-2300,www.santabarbaraca.gov
California,Santa Clara County Sheriff's Office,"55 W Younger Avenue San Jose, CA 95110",408-808-4900,www.sccsheriff.org
California,Santa Clara Police Department,"601 El Camino Real Santa Clara, CA 95050",408-615-4700,NA
California,Santa Clarita Valley Sheriff's Station,"23740 Magic Mountain Parkway Santa Clarita, CA 91355",661-255-1121,shq.lasdnews.net
California,Santa Cruz County Sheriff's Office,"701 Ocean Street Santa Cruz, CA 95060",831-471-1121,NA
California,Santa Cruz Police Department,"155 Center Street Santa Cruz, CA 95060",831-420-5800,NA
California,Santa Fe Springs Police Department,"11576 Telegraph Road Santa Fe Springs, CA 90670",562-409-1850,NA
California,Santa Maria Police Department,"222 E Cook Street Santa Maria, CA 93454",805-925-0951,NA
California,Santa Monica Police Department,"333 Olympic Drive Santa Monica, CA 90401",310-395-9931,www.santamonicapd.org
California,Santa Paula Police Department,"214 S 10th Street Santa Paula, CA 93060",805-525-4474,www.ci.santa-paula.ca.us
California,Santa Rosa Police Department,"965 Sonoma Avenue Santa Rosa, CA 95404",707-543-3600,ci.santa-rosa.ca.us
California,Sausalito Police Department,"300 Locust Street Sausalito, CA 94965",415-289-4170,www.ci.sausalito.ca.us
California,Scotts Valley Police Department,"1 Civic Center Drive Scotts Valley, CA 95066",831-440-5670,www.scottsvalleypd.com
California,Seal Beach Police Department,"911 Seal Beach Boulevard Seal Beach, CA 90740",562-799-4100,www.ci.seal-beach.ca.us
California,Seaside Police Department,"440 Harcourt Avenue Seaside, CA 93955",831-899-6748,www.ci.seaside.ca.us
California,Sebastopol Police Department,"6850 Laguna Park Way Sebastopol, CA 95472",707-829-4400,www.ci.sebastopol.ca.us
California,Selma Police Department,"1935 E Front Street Selma, CA 93662",559-896-2525,www.cityofselma.com
California,Shafter Police Department,"201 Central Valley Highway Shafter, CA 93263",661-746-8500,NA
California,Shasta County Marshal's Office,"1500 Court Street Redding, CA 96001",530-225-5600,NA
California,Shasta County Sheriff's Office,"1525 Court Street Redding, CA 96001",530-245-6165,www.sheriff.co.shasta.ca.us
California,Sierra County Sheriff's Office,"100 Courthouse Sq Downieville, CA 95936",530-289-3700,www.sierracounty.ws
California,Sierra Madre Police Department,"242 W Sierra Madre Boulevard Sierra Madre, CA 91024",626-355-1414,NA
California,Signal Hill Police Department,"1800 E Hill Street Signal Hill, CA 90755",562-989-7200,www.signalhillpd.org
California,Simi Valley Police Department,"3901 Alamo Street Simi Valley, CA 93063",805-583-6950,www.simivalley.org
California,Siskiyou County Sheriff's Department,"305 Butte Street Yreka, CA 96097",530-842-8300,www.co.sisqjustice.ca.us
California,Solano County Sheriff's Office,"530 Union Avenue Fairfield, CA 94533",707-421-7090,NA
California,Soledad Police Department,"248 Main Street Soledad, CA 93960",831-223-5130,www.cityofsoledad.com
California,Sonoma County Sheriff's Office,"2796 Ventura Avenue Santa Rosa, CA 95403",707-565-2511,NA
California,Sonoma Police Department,"175 First Street W Sonoma, CA 95476",707-996-3602,www.sonomacity.org
California,Sonoma State University Police Department,"1801 E Cotati Avenue Rohnert Park, CA 94928",707-664-2143,www.sonoma.edu
California,Sonora Police Department,"100 S Green Street Sonora, CA 95370",209-532-8143,NA
California,South Gate Police Department,"8620 California Avenue South Gate, CA 90280",323-563-5400,NA
California,South Lake Tahoe Police Department,"1352 Johnson Boulevard South Lake Tahoe, CA 96150",530-542-6100,NA
California,South Pasadena Police Department,"1422 Mission Street South Pasadena, CA 91030",626-403-7270,NA
California,South San Francisco Police Department,"33 Arroyo Drive South San Francisco, CA 94080",650-877-8900,NA
California,St Helena Police Department,"1480 Main Street St Helena, CA 94574",707-967-2850,NA
California,Stallion Springs Police Department,"28500 Stallion Springs Drive Tehachapi, CA 93561",661-822-3268,NA
California,Stanislaus County Sheriff's Department,"250 E Hackett Modesto, CA 95358",209-525-7114,www.scsdonline.com
California,Stockton Police Department,"22 E Market Street Stockton, CA 95202",209-937-8377,NA
California,Suisun City Police Department,"701 Civic Center Boulevard Suisun City, CA 94585",707-421-7373,NA
California,Sunnyvale Police Department,"700 All America Way Sunnyvale, CA 94088",408-730-7100,NA
California,Susanville Police Department,"1801 Main Street Susanville, CA 96130",530-257-2171,NA
California,Sutter County Sheriff's Office,"1077 Civic Center Boulevard Yuba City, CA 95993",530-822-7307,suttersheriff.org
California,Sutter Creek Police Department,"18 Main Street Sutter Creek, CA 95685",209-267-5646,NA
California,Taft Police Department,"320 Commerce Way Taft, CA 93268",661-763-3101,NA
California,Tehachapi Police Department,"129 East F Street Tehachapi, CA 93561",661-822-2222,www.tehachapicityhall.com
California,Tehama County Sheriff's Office,"22840 Antelope Boulevard Red Bluff, CA 96080",530-529-7900,www.tehamaso.org
California,Temecula Police Department,"30755-A Auld Road Murrieta, CA 92563",951-696-3000,www.cityoftemecula.org
California,Thousand Oaks Police Department,"2101 E Olsen Road Thousand Oaks, CA 91360",805-494-8200,ci.thousand-oaks.ca.us
California,Tiburon Police Department,"1155 Tiburon Boulevard Belvedere Tiburon, CA 94920",415-789-2801,NA
California,Torrance Police Department,"3300 Civic Center Drive Torrance, CA 90503",310-328-3456,NA
California,Tracy Police Department,"1000 Civic Center Drive Tracy, CA 95376",209-831-4550,NA
California,Trinidad Police Department,"463 Trinity Street Trinidad, CA 95570",707-677-0133,www.trinidad.ca.gov
California,Trinity County Sheriff's Department,"101 Memorial Drive Weaverville, CA 96093",530-623-2611,NA
California,Truckee Police Department,"10183 Truckee Airport Road Truckee, CA 96161",530-550-2320,NA
California,Tulare County Sheriff's Department,"2404 W Burrel Avenue Visalia, CA 93291",559-733-6220,NA
California,Tulare Police Department,"260 South M Street Tulare, CA 93274",559-684-4238,NA
California,Tulelake Police Department,"470 C Street Tulelake, CA 96134",530-667-5284,NA
California,Tuolumne County Sheriff's Office,"28 N Lower Sunset Drive Sonora, CA 95370",209-533-5855,NA
California,Turlock Police Department,"900 N Palm Turlock, CA 95380",209-668-5550,www.ci.turlock.ca.us
California,Tustin Police Department,"300 Centennial Way Tustin, CA 92780",714-573-3200,www.tustinpd.org
California,Twentynine Palms Police Department,"6527 Whitefeather Road Joshua Tree, CA 92252",760-367-9546,www.ci.twentynine-palms.ca.us
California,Twin Cities Police Department,"250 Doherty Drive Larkspur, CA 94939",415-927-5150,NA
California,Ukiah Police Department,"300 Seminary Avenue Ukiah, CA 95482",707-463-6262,www.cityofukiah.com
California,Union City Police Department,"34009 Alvarado-Niles Road Union City, CA 94587",510-471-1365,NA
California,University of California Berkeley Police Department,"1 Sproul Hall Berkeley, CA 94720",510-642-6760,police.berkeley.edu
California,University of California Davis Police Department,"One Shields Avenue Davis, CA 95616",530-752-1727,police.ucdavis.edu
California,University of California Irvine Police Department,"410 E Peltason Drive Irvine, CA 92697",949-824-5223,www.police.uci.edu
California,University of California La Jolla Police Department,"9500 Gilman Drive La Jolla, CA 92093",858-534-4357,blink.ucsd.edu
California,University of California Los Angeles Police Department,"11000 Kinross Avenue Los Angeles, CA 90095",310-825-1491,map.ais.ucla.edu
California,University of California Merced Police Department,"5200 N Lake Road Merced, CA 95343",209-228-2677,police.ucmerced.edu
California,University of California Riverside Police Department,"3500 Canyon Crest Drive Riverside, CA 92521",951-827-5222,police.ucr.edu
California,University of California San Francisco Police Department,"1855 Folsom Street San Francisco, CA 94143",415-476-1414,police.ucsf.edu
California,University of California Santa Barbara Police Department,"Public Safety Building 574 Santa Barbara, CA 93106",805-893-3446,police.ucsb.edu
California,University of California Santa Cruz Police Department,"1156 High Street Santa Cruz, CA 95064",831-459-2231,www2.ucsc.edu
California,Upland Police Department,"1499 W 13th Street Upland, CA 91786",909-946-7624,NA
California,Vacaville Police Department,"660 Merchant Street Vacaville, CA 95688",707-449-5229,NA
California,Vallejo Police Department,"111 Amador Street Vallejo, CA 94590",707-648-4321,NA
California,Ventura County Sheriff's Department,"800 S Victoria Avenue Ventura, CA 93009",805-654-2380,www.vcsd.org
California,Ventura Police Department,"1425 Dowell Drive Ventura, CA 93003",805-339-4400,www.ci.ventura.ca.us
California,Vernon Police Department,"4305 S Santa Fe Avenue Vernon, CA 90058",323-587-5171,www.cityofvernon.org
California,Victorville Police Department,"14200 Amargosa Road Victorville, CA 92392",760-241-2911,NA
California,Visalia Police Department,"303 S Johnson Street Visalia, CA 93291",559-734-8116,www.ci.visalia.ca.us
California,Walnut Creek Police Department,"1666 N Main Street Walnut Creek, CA 94596",925-943-5844,www.walnut-creek.org
California,Wasco Police Department,"748 F Street Wasco, CA 93280",661-758-7266,NA
California,Watsonville Police Department,"215 Union Street Watsonville, CA 95076",831-768-3300,NA
California,Weed Police Department,"550 Main Street Weed, CA 96094",530-938-5000,NA
California,West Covina Police Department,"1444 W Garvey Avenue S West Covina, CA 91790",626-939-8557,NA
California,West Hollywood Sheriff's Station,"780 N San Vicente Boulevard West Hollywood, CA 90069",310-855-8850,www.wehosheriff.com
California,West Sacramento Police Department,"550 Jefferson Boulevard West Sacramento, CA 95605",916-617-4900,www.cityofwestsacramento.org
California,Westminster Police Department,"8200 Westminster Boulevard Westminster, CA 92683",714-898-3315,www.westminster-ca.gov
California,Westmorland Police Department,,760-344-3457,NA
California,Wheatland Police Department,"413 Second Street Wheatland, CA 95692",530-633-2014,www.wheatland.ca.gov
California,Whittier Police Department,"13200 Penn Street Whittier, CA 90602",562-567-9200,www.whittierpd.org
California,Williams Police Department,"700 North Street Williams, CA 95987",530-473-2661,www.cityofwilliams.org
California,Willits Police Department,"125 E Commercial Street Willits, CA 95490",707-459-6122,thecityofwillits.com
California,Willows Police Department,"201 N Lassen Street Willows, CA 95988",530-934-3456,www.cityofwillows.org
California,Windsor Police Department,"9291 Old Redwood Highway Windsor, CA 95492",707-838-1234,www.ci.windsor.ca.us
California,Winters Police Department,"318A First Street Winters, CA 95694",530-795-2261,www.winterspolice.org
California,Woodlake Police Department,"350 N Valencia Boulevard Woodlake, CA 93286",559-564-3346,NA
California,Woodland Police Department,"1000 Lincoln Avenue Woodland, CA 95695",530-661-7800,www.cityofwoodland.org
California,Yolo County Sheriff's Department,"2500 E Gibson Road Woodland, CA 95776",530-666-8282,www.yolosheriffs.com
California,Yreka Police Department,"412 W Miner Street Yreka, CA 96097",530-841-2300,NA
California,Yuba City Police Department,"1545 Poole Boulevard Yuba City, CA 95993",530-822-4664,www.ycpd.org
California,Yuba County Sheriff's Department,"215 5th Street Marysville, CA 95901",530-749-7777,sheriff.co.yuba.ca.us
California,Yucaipa Police Department,"34282 Yucaipa Boulevard Yucaipa, CA 92399",909-790-3105,NA
Colorado,Adams County Sheriff's Office,"332 N 19th Avenue Brighton, CO 80601",303-654-1850,NA
Colorado,Alamosa County Sheriff's Office,"1315 17th Street Alamosa, CO 81101",719-589-6608,www.alamosacounty.org
Colorado,Alamosa Police Department,"425 4th Street Alamosa, CO 81101",719-589-2548,NA
Colorado,Arapahoe County Sheriff's Office,"13101 Broncos Parkway Centennial, CO 80112",303-795-4711,www.co.arapahoe.co.us
Colorado,Archuleta County Sheriff's Office,"449 San Juan Street Pagosa Springs, CO 81147",970-264-8430,NA
Colorado,Arvada Police Department,"8101 Ralston Road Arvada, CO 80002",720-898-6900,arvadapd.org
Colorado,Aspen Police Department,"506 E Main Street Aspen, CO 81611",970-920-5400,www.aspenpitkin.com
Colorado,Ault Police Department,"203 1st Street Ault, CO 80610",970-834-1336,NA
Colorado,Aurora Police Department,"15001 E Alameda Parkway Aurora, CO 80012",303-627-3100,NA
Colorado,Avon Police Department,"1 Lake Street Avon, CO 81620",970-748-4040,www.avon.org
Colorado,Baca County Sheriff's Department,"265 E 2nd Street Springfield, CO 81073",719-523-6677,NA
Colorado,Basalt Police Department,"100 Elk Run Drive Basalt, CO 81621",970-927-4316,NA
Colorado,Bayfield Marshal's Office,,970-385-2900,NA
Colorado,Bent County Sheriff's Office,"11100 County Road Las Animas, CO 81054",719-456-1363,NA
Colorado,Berthoud Police Department,"328 Massachuesetts Avenue Berthoud, CO 80513",970-532-2611,www.berthoud.org
Colorado,Black Hawk Police Department,"221 Church Street Black Hawk, CO 80422",303-582-0503,NA
Colorado,Boulder County Sheriff's Office,"5600 Flatiron Parkway Boulder, CO 80301",303-441-3600,www.bouldersheriff.org
Colorado,Boulder Police Department,"1805 33rd Street Boulder, CO 80301",303-441-3333,NA
Colorado,Breckenridge Police Department,"150 Valley Brook Street Breckenridge, CO 80424",970-453-2941,www.townofbreckenridge.com
Colorado,Brighton Police Department,"3401 E Bromley Ln Brighton, CO 80601",303-655-2300,NA
Colorado,Broomfield Police Department,"7 Descombes Drive Broomfield, CO 80020",303-438-6400,NA
Colorado,Brush Police Department,"118 Carson Brush, CO 80723",970-842-5074,NA
Colorado,Buena Vista Police Department,"123 Linderman Avenue Buena Vista, CO 81211",719-395-8654,NA
Colorado,Burlington Police Department,"480 15th Street Burlington, CO 80807",719-346-8353,www.burlingtoncolo.com
Colorado,Calhan Police Department,"556 Colorado Avenue Calhan, CO 80808",719-347-2586,calhanpd.net
Colorado,Caon City Police Department,"161 Justice Center Road Caon City, CO 81212",719-276-5600,NA
Colorado,Carbondale Police Department,"511 Colorado Avenue Carbondale, CO 81623",970-963-2662,www.carbondalegov.org
Colorado,Castle Rock Police Department,"100 Perry Street Castle Rock, CO 80104",303-663-6100,NA
Colorado,Cedaredge Police Department,"140 N W 2nd Street Cedaredge, CO 81413",970-856-4301,www.cedaredgecolorado.com
Colorado,Center Police Department,"294 S Worth Street Center, CO 81125",719-754-3497,www.centerco.gov
Colorado,Chaffee County Sheriff's Office,"132 Crestone Avenue Salida, CO 81201",719-539-2596,www.chaffeesheriff.org
Colorado,Cheyenne County Sheriff's Office,"91 E 1st Cheyenne Wells, CO 80810",719-767-5633,NA
Colorado,Clear Creek County Sheriff's Office,"405 Argentine Street Georgetown, CO 80444",303-679-2376,www.clearcreeksheriff.us
Colorado,Colorado Springs Police Department,"705 S Nevada Avenue Colorado Springs, CO 80903",719-444-7000,NA
Colorado,Colorado State Patrol,"700 Kipling Street Lakewood, CO 80215",303-239-4501,NA
Colorado,Colorado State University Police Department,"750 S Meridian Avenue Fort Collins, CO 80523",970-491-6425,police.colostate.edu
Colorado,Columbine Valley Police Department,"2 Middlefield Road Columbine Valley, CO 80123",303-795-4711,www.columbinevalley.org
Colorado,Commerce City Police Department,"7887 E 60th Avenue Commerce City, CO 80022",303-289-3653,www.ci.commerce-city.co.us
Colorado,Conejos County Sheriff's Office,"14044 County Road G5 Conejos, CO 81129",719-376-2196,NA
Colorado,Cortez Police Department,"608 N Park Street Cortez, CO 81321",970-565-8441,NA
Colorado,Costilla County Sheriff's Office,"103 Gasper Street San Luis, CO 81152",719-672-0673,NA
Colorado,Craig Police Department,"800 W First Street Craig, CO 81625",970-826-2360,www.craigpolice.org
Colorado,Crested Butte Marshal's Office,"508 Maroon Avenue Crested Butte, CO 81224",970-641-8200,www.crestedbutte-co.gov
Colorado,Cripple Creek Police Department,"101 Bennett Drive Cripple Creek, CO 80813",719-689-2655,www.cripplecreekgov.com
Colorado,Crowley County Sheriff's Office,"110 E 6th Street Ordway, CO 81063",719-267-5555 Ext. 1,NA
Colorado,Custer County Sheriff's Office,"702 Rosita Avenue Westcliffe, CO 81252",719-783-2270,NA
Colorado,Dacono Police Department,"512 Cherry Avenue Dacono, CO 80514",303-833-3095,NA
Colorado,Delta County Sheriff's Office,,970-874-2000,NA
Colorado,Delta Police Department,"215 W 5th Street Delta, CO 81416",970-874-7676,NA
Colorado,Denver Police Department,"1331 Cherokee Street Denver, CO 80204",720-913-2000,www.denvergov.org
Colorado,Denver Sheriff's Department,"10500 E Smith Road Denver, CO 80239",720-913-3600,www.denvergov.org
Colorado,Dillon Police Department,"275 Lake Dillon Drive Dillon, CO 80435",970-468-6078,www.townofdillon.com
Colorado,Dinosaur Marshals Office,"317 Stegosaurus Fwy Dinosaur, CO 81610",970-374-2466,NA
Colorado,Dolores County Sheriff's Department,"409 N Main Street Dove Creek, CO 81324",970-677-2257,NA
Colorado,Douglas County Sheriff's Office,"4000 Justice Way Castle Rock, CO 80109",303-660-7505,www.dcsheriff.net
Colorado,Durango Police Department,"990 East 2nd Avenue Durango, CO 81301",970-375-4700,www.durangogov.org
Colorado,Eads City Police Department,"110 West 13th Street Eads, CO 81036",719-438-5590,NA
Colorado,Eagle County Sheriff's Office,"0885 E Chambers Avenue Eagle, CO 81631",970-328-8500,www.eaglecounty.us
Colorado,Eagle Police Department,"200 Broadway Eagle, CO 81631",970-328-6351,co-eagle2.civicplus.com
Colorado,Edgewater Police Department,"5901 W 25th Avenue Edgewater, CO 80214",303-278-2000,NA
Colorado,El Paso County Sheriff's Office,"101 W Costilla Street Colorado Springs, CO 80903",719-520-7333,shr.elpasoco.com
Colorado,Elbert County Sheriff's Office,"751 Ute Avenue Kiowa, CO 80117",303-621-2030,www.elbertcountysheriff.com
Colorado,Englewood Police Department,"3615 S Elati Street Englewood, CO 80110",303-761-7410,NA
Colorado,Erie Police Department,"645 Holbrook Street Erie, CO 80516",303-926-2800,NA
Colorado,Estes Park Police Department,"170 Macgregor Avenue Estes Park, CO 80517",970-586-4000,NA
Colorado,Evans Police Department,"1100 37th Street Evans, CO 80620",970-339-2441,NA
Colorado,Fairplay Police Department,"400 Front Street Fairplay, CO 80440",719-836-2840,NA
Colorado,Federal Heights Police Department,"2380 W 90th Avenue Denver, CO 80260",303-428-8538,NA
Colorado,Firestone Police Department,"151 Grant Avenue Firestone, CO 80520",303-833-0811,NA
Colorado,Fort Collins Police Department,"2221 Timberline Road Fort Collins, CO 80525",970-221-6540,www.fcgov.com
Colorado,Fort Lupton Police Department,"130 S McKinley Avenue Fort Lupton, CO 80621",303-857-4011,NA
Colorado,Fort Morgan Police Department,"901 E Beaver Avenue Fort Morgan, CO 80701",970-867-5678,www.cityoffortmorgan.com
Colorado,Fountain Police Department,"222 N Santa Fe Avenue Fountain, CO 80817",719-382-8555,www.ci.fountain.co.us
Colorado,Fremont County Sheriff's Office,"100 Justice Center Road Caon City, CO 81212",719-276-5555,NA
Colorado,Frisco Police Department,,970-668-8600,www.friscogov.com
Colorado,Fruita Police Department,"101 W McCune Avenue Fruita, CO 81521",970-858-3008,NA
Colorado,Garfield County Sheriff's Office,"107 8th Street Glenwood Springs, CO 81601",970-945-0453,www.garcosheriff.com
Colorado,Georgetown Police Department,,303-569-2555 Ext. 17,NA
Colorado,Gilpin County Sheriff's Office,"2960 Dory Hill Road, Suite 300 Black Hawk, CO 80422",303-582-5500,www.gilpincountysheriff.com
Colorado,Glendale Police Department,"950 S Birch Street Glendale, CO 80246",303-759-1511,NA
Colorado,Glenwood Springs Police Department,"101 W 8th Street Glenwood Springs, CO 81601",970-384-6500,www.glenwoodpolice.com
Colorado,Golden Police Department,"911 10th Street Golden, CO 80401",303-384-8045,www.cityofgolden.net
Colorado,Grand County Sheriff's Department,"670 Spring Street Hot Sulphur Springs, CO 80451",970-725-3343,NA
Colorado,Grand Junction Police Department,"625 Ute Avenue Grand Junction, CO 81501",970-244-3555,NA
Colorado,Greeley Police Department,"2875 10th Street Greeley, CO 80634",970-350-9600,NA
Colorado,Green Mountain Falls Marshal's Office,"10545 Ute Pass Avenue Green Mountain Falls, CO 80819",719-684-9415,NA
Colorado,Greenwood Village Police Department,"6060 S Quebec Street Greenwood Village, CO 80111",303-773-2525,NA
Colorado,Gunnison County Sheriff's Office,"510 Bidwell Ginnison, CO 81230",970-641-1113,NA
Colorado,Gunnison Police Department,"910 West Bidwell Avenue Gunnison, CO 81230",970-641-8200,www.cityofgunnison-co.gov
Colorado,Hayden Police Department,"249 Hawthorne Street Hayden, CO 81639",970-276-3232,NA
Colorado,Hinsdale County Sheriff's Office,"311 N Henson Street Lake City, CO 81235",970-944-2291,www.hinsdalecountysheriff.com
Colorado,Hotchkiss Marshals Office,"276 West Main Street Hotchkiss, CO 81419",970-872-3848,townofhotchkiss.com
Colorado,Huerfano County Sheriff's Office,"500 S Albert Avenue Walsenburg, CO 81089",719-738-1600,NA
Colorado,Hugo Marshal's Office,"522 2nd Avenue Hugo, CO 80821",719-743-2426,www.hugomarshal.com
Colorado,Idaho Springs Police Department,"1711 Miner Street Idaho Springs, CO 80452",303-567-4291,www.idahospringsco.com
Colorado,Jackson County Sheriff's Office,,970-723-4242,NA
Colorado,Jefferson County Sheriff's Office,"200 Jefferson County Parkway Golden, CO 80401",303-277-0211,www.jeffco.us
Colorado,Kiowa County Sheriff's Office,"1305 Goff Eads, CO 81036",719-438-5411,NA
Colorado,Kit Carson County Sheriff's Department,"251 16th Street Burlington, CO 80807",719-346-8934,NA
Colorado,La Junta Police Department,"601 Colorado Avenue La Junta, CO 81050",719-384-2525,www.lajuntapd.org
Colorado,La Plata County Sheriff's Office,"742 Turner Drive Durango, CO 81303",970-247-1157,NA
Colorado,Lafayette Police Department,"451 N 111th Street Lafayette, CO 80026",303-665-5571,NA
Colorado,Lake County Sheriff's Office,,719-486-1249,www.lakecountyco.com
Colorado,Lakewood Police Department,"445 S Allison Parkway Lakewood, CO 80226",303-987-7111,www.lakewood.org
Colorado,Lamar Police Department,"505 S Main Street Lamar, CO 81052",719-336-3984,NA
Colorado,Larimer County Sheriff's Office,"2501 Midpoint Drive Fort Collins, CO 80525",970-498-5100,www.larimersheriff.org
Colorado,Las Animas County Sheriff's Office,"2309 E Main Street Trinidad, CO 81082",970-846-2211,lasanimascounty.org
Colorado,Las Animas Police Department,"326 Prowers Ct Las Animas, CO 81054",719-456-1313,NA
Colorado,LaSalle Police Department,"128 N 2nd Street LaSalle, CO 80645",970-284-5541,NA
Colorado,Leadville Police Department,"800 Harrison Avenue Leadville, CO 80461",719-486-1365,NA
Colorado,Limon Police Department,"100 Civic Center Drive Limon, CO 80828",719-775-9211,NA
Colorado,Lincoln County Sheriff's Office,"103 3rd Avenue Hugo, CO 80821",719-743-2426,www.lincolnsheriff.net
Colorado,Littleton Police Department,"2255 W Berry Avenue Littleton, CO 80165",303-794-1551,NA
Colorado,Lochbuie Police Department,"703 Weld County Road 37 Lochbuie, CO 80603",303-659-1395,NA
Colorado,Logan County Sheriff's Office,"110 Riverview Road Sterling, CO 80751",970-522-2578,www.logancosheriff.com
Colorado,Lone Tree Police Department,"9220 Kimmer Drive Lone Tree, CO 80124",303-339-8150,www.cityoflonetree.com
Colorado,Longmont Police Department,"225 Kimbark Street Longmont, CO 80501",303-651-8555,NA
Colorado,Louisville Police Department,"992 W Via Appia Way Louisville, CO 80027",303-666-6531,NA
Colorado,Loveland Police Department,"810 E 10th Street Loveland, CO 80537",970-667-2151,NA
Colorado,Mancos Marshal's Office,"117 N Main Street Mancos, CO 81328",970-533-1432,NA
Colorado,Manitou Springs Police Department,"606 Manitou Avenue Manitou Springs, CO 80829",719-685-5407,NA
Colorado,Meeker Police Department,"345 Market Street Meeker, CO 81641",970-878-5555,NA
Colorado,Mesa County Sheriff's Office,"215 Rice Street Grand Junction, CO 81502",970-244-3500,NA
Colorado,Mineral County Sheriff's Office,,719-658-2600,NA
Colorado,Moffat County Sheriff's Office,"800 W 1st Street Craig, CO 81625",970-824-4495,www.moffatcountysheriff.com
Colorado,Monte Vista Police Department,"720 1st Avenue Monte Vista, CO 81144",719-852-6161,NA
Colorado,Montezuma County Sheriff's Office,"730 E Driscoll Street Cortez, CO 81321",970-565-8452,www.montezumasheriff.org
Colorado,Montrose County Sheriff's Department,"1200 N Grand Avenue Montrose, CO 81401",970-249-6606,NA
Colorado,Montrose Police Department,"434 S 1st Street Montrose, CO 81401",970-252-5200,NA
Colorado,Monument Police Department,"645 Beacon Lite Road Monument, CO 80132",719-481-3253,monumentpd.org
Colorado,Morgan County Sheriff's Office,"801 E Beaver Fort Morgan, CO 80701",970-542-3445,morgansheriff.net
Colorado,Morrison Police Department,"321 Highway 8 Morrison, CO 80465",303-697-4810,NA
