,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
1079,AL,Clayton Police Department,"Post Office Box 385  Clayton, AL 36016",334-775-8011,3.0,"1,475",Local Police
1080,AL,Cleburne County Sheriff's Office,"140 Lambert Dr  Heflin, AL 36264",256-463-2277,9.0,"14,123",Sheriff
1081,AL,Cleveland Police Department,"Post Office Box 186  Cleveland, AL 35049",205-274-9640,2.0,"1,241",Local Police
1082,AL,Clio Police Department,"Post Office Box 219  Clio, AL 36017",334-397-2723,3.0,"2,206",Local Police
1084,AL,Coffee County Sheriff's Office,"4 County Complex  New Brockton, AL 36351",334-894-5535,20.0,"43,615",Sheriff
1085,AL,Coffeeville Police Department,"Post Office Box 10  Coffeeville, AL 36524",334-276-3266,1.0,360,Local Police
1086,AL,Colbert County Sheriff's Office,"201 N Main St  Tuscumbia, AL 35674",256-383-0471,31.0,"54,984",Sheriff
1087,AL,Collinsville Police Department,"Post Office Drawer N  Collinsville, AL 35961",256-524-2136,4.0,"1,644",Local Police
1088,AL,Columbia Police Department,"Post Office Box 339  Columbia, AL 36319",334-696-4444,2.0,804,Local Police
1089,AL,Columbiana Police Department,"107 Mildred Street  Columbiana, AL 35051",205-669-5800,8.0,"3,316",Local Police
1090,AL,Conecuh County Sheriff's Office,"100 Liberty St  Evergreen, AL 36401",334-578-1260,12.0,"14,089",Sheriff
1091,AL,Coosa County Sheriff's Office,"P.O. Box 279  Rockford, AL 35136",256-377-4922,10.0,"12,202",Sheriff
1092,AL,Coosada Police Department,"Post Office Box 96  Coosada, AL 36020",334-285-3700,3.0,"1,382",Local Police
1093,AL,Cordova Police Department,"74 Main Street  Cordova, AL 35550",205-483-7378,4.0,"2,423",Local Police
1094,AL,Cottonwood Police Department,"Post Office Box 447  Cottonwood, AL 36320",334-691-2671,3.0,"1,170",Local Police
1095,AL,Courtland Police Department,"Post Office Box 160  Courtland, AL 35618",256-637-2701,3.0,769,Local Police
1096,AL,Covington County Sheriff's Office,"290 Hillcrest Dr  Andalusia, AL 36420",334-428-2640,26.0,"37,631",Sheriff
1097,AL,Crenshaw County Sheriff's Office,"P.O. Box 2229 S Glenwood Ave Luverne, AL 36049",334-335-6568,10.0,"13,665",Sheriff
1098,AL,Creola Police Department,"190-A Dead LakePost Office Box 490 Creola, AL 36525",304-675-8145,7.0,"2,002",Local Police
1099,AL,Crossville Police Department,"Post Office Box 100  Crossville, AL 35962",256-528-7121,4.0,"1,431",Local Police
1101,AL,Cullman County Sheriff's Office,"1910 Beech Ave Sw  Cullman, AL 35055",256-734-0342,78.0,"77,483",Sheriff
1102,AL,Cullman Police Department,"204 2Nd Avenue Northeast  Cullman, AL 35055",256-734-1434,48.0,"13,995",Local Police
1103,AL,Dadeville Police Department,"192 Broadnax Street  Dadeville, AL 36853",256-825-6212,12.0,"3,212",Local Police
1104,AL,Dale County Sheriff's Office,"P.O. Box 279Court Square Ozark, AL 36361",334-774-2335,0.0,"49,129",Sheriff
1105,AL,Daleville Police Department,"Post Office Box 188  Daleville, AL 36322",334-598-4442,18.0,"4,653",Local Police
1106,AL,Dallas County Sheriff's Office,"102 Church StPO Box 531 Selma, AL 36701",334-874-2530,24.0,"46,365",Sheriff
1107,AL,Daphne Police Department,"1502 Highway 98  Daphne, AL 36526",334-621-2834,46.0,"16,581",Local Police
1108,AL,Dauphin Island Police Department,"1015 Desoto Avenue  Dauphin Island, AL 36528",334-861-5523,10.0,"1,371",Local Police
1109,AL,Decatur Police Department,"402 Lee Street Southeast  Decatur, AL 35602",256-353-2515,133.0,"53,929",Local Police
1110,AL,Dekalb County Sheriff's Office,"210 Grand Ave SSte 102 Fort Payne, AL 35967",256-845-8561,34.0,"64,452",Sheriff
1111,AL,Demopolis Police Department,"Post Office Box 580  Demopolis, AL 36732",334-289-3074,19.0,"7,540",Local Police
1112,AL,Dora Police Department,"1485 Sharon Boulevard  Dora, AL 35062",205-648-9110,4.0,"2,413",Local Police
1113,AL,Dothan Police Department,"210 North Saint Andrews Street  Dothan, AL 36303",334-973-0419,148.0,"57,737",Local Police
1115,AL,Double Springs Police Department,"21 Main Street  Double Springs, AL 35553",205-489-5447,5.0,"1,003",Local Police
1116,AL,Douglas Police Department,"Post Office Box 45  Douglas, AL 35964",256-593-9531,3.0,530,Local Police
1117,AL,Dozier Police Department,"Post Office Box 216  Dozier, AL 36028",334-496-3742,1.0,391,Local Police
1118,AL,East Brewton Police Department,"Post Office Box 2010  East Brewton, AL 36427",334-867-4864,6.0,"2,496",Local Police
1119,AL,Eclectic Police Department,"50 Main Street  Eclectic, AL 36024",334-541-2148,5.0,"1,037",Local Police
1120,AL,Elba Police Department,"304 Simmons Street  Elba, AL 36323",334-897-2555,13.0,"4,185",Local Police
1121,AL,Elberta Police Department,"Post Office Box 277  Elberta, AL 36530",334-986-5300,5.0,552,Local Police
1122,AL,Elkmont Police Department,"Post Office Box 387  Elkmont, AL 35620",256-732-4211,1.0,470,Local Police
1123,AL,Elmore County Sheriff's Office,"8955 Us Highway 231  Wetumpka, AL 36092",334-567-5546,33.0,"65,874",Sheriff
1124,AL,Enterprise Police Department,"Post Office Box 311000  Enterprise, AL 36331",334-347-1211,54.0,"21,178",Local Police
1125,AL,Escambia County Sheriff's Office,"316 Court St  Brewton, AL 36426",334-809-0741,25.0,"38,440",Sheriff
1126,AL,Etowah County Sheriff's Office,"827 Forrest Ave  Gadsden, AL 35901",256-545-2825,66.0,"103,459",Sheriff
1127,AL,Eufaula Police Department,"Post Office Box 219  Eufaula, AL 36072",334-687-1200,37.0,"13,908",Local Police
1128,AL,Eutaw Police Department,"Post Office Box 431  Eutaw, AL 35462",205-372-4334,9.0,"1,878",Local Police
1129,AL,Evergreen Police Department,"355 east front street  Evergreen, AL 36401",334-578-1111,10.0,"3,630",Local Police
1130,AL,Excel Police Department,"Post Office Box 369  Excel, AL 36439",334-765-2558,1.0,582,Local Police
1131,AL,Fairfield Police Department,"5231 Court BMUNICIPAL COMPLEX Fairfield, AL 35064",205-786-4111,34.0,"12,381",Local Police
1132,AL,Fairhope Police Department,"Post Office Box 429  Fairhope, AL 36533",334-928-2385,32.0,"12,480",Local Police
1133,AL,Falkville Police Department,"Post Office Box 407  Falkville, AL 35622",256-784-5237,4.0,"1,202",Local Police
1135,AL,Fayette County Sheriff's Office,"113 1St Ave Nw  Fayette, AL 35555",205-932-3205,12.0,"18,495",Sheriff
1136,AL,Fayette Police Department,"118 1St Avenue Ne  Fayette, AL 35555",205-932-5312,12.0,"4,922",Local Police
1137,AL,Flomaton Police Department,"2125 Ringold Street  Flomaton, AL 36441",334-296-5811,6.0,"1,588",Local Police
1138,AL,Florala Police Department,"22654 Wall Avenue  Florala, AL 36442",334-858-3244,6.0,"1,964",Local Police
1140,AL,Foley Police Department,"200 E Section Avenue  Foley, AL 36535",334-952-4010,56.0,"7,590",Local Police
1141,AL,Forkland Police Department,"Post Office Box 126  Forkland, AL 36740",334-289-4063,2.0,629,Local Police
1142,AL,Fort Deposit Police Department,"Post Office Box 260  Fort Deposit, AL 36032",334-227-4331,1.0,"1,270",Local Police
1143,AL,Fort Payne Police Department,"200 Gault Avenue South, Suite  1  Fort Payne, AL 35967",256-845-1414,34.0,"12,938",Local Police
1144,AL,Franklin County Sheriff's Office,"P.O. Box 400410 N Jackson Ave Russellville, AL 35653",256-332-8811,15.0,"31,223",Sheriff
1145,AL,Frisco City Police Department,"Post Office Box 119  Frisco City, AL 36445",334-267-3113,1.0,"1,460",Local Police
1146,AL,Fulton Police Department,"Post Office Box 68  Fulton, AL 36446",334-636-2174,1.0,308,Local Police
1147,AL,Fultondale Police Department,"Post Office Box 699  Fultondale, AL 35068",205-849-5456,23.0,"6,595",Local Police
1148,AL,Fyffe Police Department,"Post Office Box 8  Fyffe, AL 35971",256-623-2222,4.0,971,Local Police
1149,AL,Gadsden Police Department,"Post Office Box 267  Gadsden, AL 35902",256-549-4500,97.0,"38,978",Local Police
1150,AL,Gardendale Police Department,"Post Office Box 889  Gardendale, AL 35071",205-631-8787,26.0,"11,626",Local Police
1151,AL,Geneva County Sheriff's Office,"P.O. Box 115  Geneva, AL 36340",334-684-5660,9.0,"25,764",Sheriff
1152,AL,Geneva Police Department,"Post Office Box 332  Geneva, AL 36340",334-684-2777,12.0,"4,388",Local Police
1153,AL,Georgiana Police Department,"Post Office Box 310  Georgiana, AL 36033",334-376-2801,7.0,"1,737",Local Police
1154,AL,Geraldine Police Department,"Post Office Box 183  Geraldine, AL 35974",256-659-2122,3.0,786,Local Police
1155,AL,Gilbertown Police Department,"Post Office Box 152  Gilbertown, AL 36908",334-843-2766,2.0,187,Local Police
1156,AL,Glencoe Police Department,"201 Chastain Boulevard W.  Glencoe, AL 35905",256-492-1424,6.0,"5,152",Local Police
1157,AL,Goodwater Police Department,"Post Office Box 45  Goodwater, AL 35072",256-839-5107,4.0,"1,633",Local Police
1158,AL,Gordo Police Department,"Post Office Box 542  Gordo, AL 35466",205-364-7111,4.0,"1,677",Local Police
1159,AL,Gordon Police Department,"Post Office Box 46  Gordon, AL 36343",334-522-3113,1.0,408,Local Police
1160,AL,Grant Police Department,"Post Office Box 70  Grant, AL 35747",256-728-4233,2.0,665,Local Police
1161,AL,Greene County Sheriff's Office,"400 Morrow AvePO Box 109 Eutaw, AL 35462",205-372-3242,11.0,"9,974",Sheriff
1162,AL,Greensboro Police Department,"1101 Main Street  Greensboro, AL 36744",334-624-3902,10.0,"2,731",Local Police
1163,AL,Greenville Police Department,"Post Office Box 158  Greenville, AL 36037",334-382-7461,30.0,"7,228",Local Police
1164,AL,Grove Hill Police Department,"Post Office Box 847  Grove Hill, AL 36451",334-275-3112,5.0,"1,438",Local Police
1165,AL,Guin Police Department,"Post Office Box 249  Guin, AL 35563",205-468-3363,4.0,"2,389",Local Police
1166,AL,Gulf Shores Police Department,"Post Office Box 896  Gulf Shores, AL 36542",334-968-2431,40.0,"5,044",Local Police
1167,AL,Guntersville Police Department,"340 Blount Avenue  Guntersville, AL 35976",256-571-7571,33.0,"7,395",Local Police
1168,AL,Gurley Police Department,"Post Office Box 128  Gurley, AL 35748",256-776-3313,4.0,876,Local Police
1169,AL,Hackleburg Police Department,"Post Office Box 279  Hackleburg, AL 35564",205-935-5195,4.0,"1,527",Local Police
1170,AL,Hale County Sheriff's Office,"P.O. Box 1601001 Main St Greensboro, AL 36744",334-624-3081,7.0,"17,185",Sheriff
1171,AL,Haleyville Police Department,"1901 11Th Avenue  Haleyville, AL 35565",205-486-5201,11.0,"4,182",Local Police
1172,AL,Hamilton Police Department,"Post Office Box 188  Hamilton, AL 35570",205-921-7424,11.0,"6,786",Local Police
1173,AL,Hammondville Police Department,"37669 U.S. Highway 11  Hammondville, AL 35989",256-635-6374,2.0,486,Local Police
1174,AL,Hanceville Police Department,"203 Bangor Avenue Southeast  Hanceville, AL 35077",256-352-9830,9.0,"2,951",Local Police
1175,AL,Harpersville Police Department,"Post Office Box 370  Harpersville, AL 35078",205-672-2490,9.0,"1,620",Local Police
1176,AL,Hartford Police Department,"114 South 4Th Avenue  Hartford, AL 36344",334-588-2222,8.0,"2,369",Local Police
1177,AL,Hartselle Police Department,"150 Chestnut Street Northwest  Hartselle, AL 35640",256-773-6534,28.0,"12,019",Local Police
1178,AL,Hayneville Police Department,"133 Lafayette Street  Hayneville, AL 36040",334-548-2128,3.0,"1,177",Local Police
1179,AL,Headland Police Department,"9 Park Street  Headland, AL 36345",334-643-2222,10.0,"3,523",Local Police
1180,AL,Heflin Police Department,"Post Office Box 128  Heflin, AL 36264",256-463-2291,10.0,"3,002",Local Police
1181,AL,Helena Police Department,"Post Office Box 262  Helena, AL 35080",205-663-6499,21.0,"10,296",Local Police
1183,AL,Henry County Sheriff's Office,"101 Court Sq Ste G  Abbeville, AL 36310",334-585-3131,8.0,"16,310",Sheriff
1184,AL,Hillsboro Police Department,"Post Office Box 10  Hillsboro, AL 35643",256-637-6385,1.0,608,Local Police
1185,AL,Hokes Bluff Police Department,"3301 Alford Bend Road  Hokes Bluff, AL 35903",256-492-2414,5.0,"4,149",Local Police
1186,AL,Hollywood Police Department,"Post Office Box 308  Hollywood, AL 35752",256-259-1295,2.0,950,Local Police
1187,AL,Homewood Police Department,"Post Office Box 59666  Homewood, AL 35209",205-877-8650,76.0,"25,043",Local Police
1188,AL,Hoover Police Department,"100 Municipal Drive  Hoover, AL 35216",205-739-7167,158.0,"62,742",Local Police
1189,AL,Houston County Sheriff's Office,"144 N Oates StPO Box 6406 Dothan, AL 36303",334-677-4888,59.0,"88,787",Sheriff
1190,AL,Hueytown Police Department,"1318 Hueytown Road  Hueytown, AL 35023",205-491-3523,35.0,"15,364",Local Police
1192,AL,Huntsville Police Department,"Post Office Box 2085  Huntsville, AL 35804",256-427-7008,405.0,"158,216",Local Police
1193,AL,Ider Police Department,"Post Office Box 72  Ider, AL 35981",256-657-5717,3.0,664,Local Police
1194,AL,Irondale Police Department,"101 20Th Street South  Irondale, AL 35210",205-956-5990,28.0,"9,813",Local Police
1195,AL,Jackson County Sheriff's Office,"County Courthouse102 E Laurel St Scottsboro, AL 35768",256-574-2610,29.0,"53,926",Sheriff
1196,AL,Jackson Police Department,"Post Office Box 95  Jackson, AL 36545",334-246-4484,21.0,"5,419",Local Police
1197,AL,Jacksons Gap Police Department,"Post Office Box 162  Jacksons Gap, AL 36861",256-825-8515,1.0,761,Local Police
1198,AL,Jacksonville Police Department,"116 Ladiga Street Southeast  Jacksonsville, AL 36265",256-435-6448,26.0,"8,404",Local Police
1200,AL,Jasper Police Department,"1610 Alabama Avenue  Jasper, AL 35501",205-221-6790,46.0,"14,052",Local Police
1201,AL,Jefferson County Sheriff's Office,"2200 8Th Ave N  Birmingham, AL 35203",205-325-5060,556.0,"662,047",Sheriff
1203,AL,Jemison Police Department,"Post Office Box 609  Jemison, AL 35085",205-688-4491,8.0,"2,248",Local Police
1204,AL,Killen Police Department,"Post Office Box 27  Killen, AL 35645",256-757-5555,5.0,"1,119",Local Police
1205,AL,Kimberly Police Department,"Post Office Box 206  Kimberly, AL 35091",205-647-5531,4.0,"1,801",Local Police
1206,AL,Kinsey Police Department,"6947 Walden Drive  Kinsey, AL 36303",334-793-5409,2.0,"1,796",Local Police
1207,AL,Kinston Police Department,"Post Office Box 26  Kinston, AL 36453",334-565-3114,1.0,602,Local Police
1208,AL,Lafayette Police Department,"Post Office Box 87  Lafayette, AL 36862",334-864-2208,15.0,"3,234",Local Police
1209,AL,Lake View Police Department,"22765 Central Pk. Dr.  Lake View, AL 35111",205-477-1999,5.0,"1,357",Local Police
1210,AL,Lamar County Sheriff's Office,"P.O. Box 770  Vernon, AL 35592",205-695-7470,8.0,"15,904",Sheriff
1211,AL,Lanett Police Department,"Post Office Box 290  Lanett, AL 36863",334-644-2146,27.0,"7,897",Local Police
1212,AL,Lauderdale County Sheriff's Office,"P.O. Box 1710200 South Court St Florence, AL 35631",256-760-5757,35.0,"87,966",Sheriff
1213,AL,Lawrence County Sheriff's Office,"242 Parker Rd  Moulton, AL 35650",256-974-2406,21.0,"34,803",Sheriff
1215,AL,Lee County Sheriff's Office,"Sheriff Ws Jones Center1900 Frederick Rd Opelika, AL 36801",334-749-5651,59.0,"115,092",Sheriff
1216,AL,Leeds Police Department,"1040 Park Drive  Leeds, AL 35094",205-699-2581,24.0,"10,455",Local Police
1217,AL,Leesburg Police Department,"Post Office Box 144  Leesburg, AL 35983",256-526-8888,3.0,799,Local Police
1218,AL,Leighton Police Department,"Post Office Box 308  Leighton, AL 35646",256-446-8479,1.0,849,Local Police
1221,AL,Limestone County Sheriff's Office,"101 W Elm St  Athens, AL 35611",256-232-0111,41.0,"65,676",Sheriff
1222,AL,Lincoln Police Department,"Post Office Box 172  Lincoln, AL 35096",205-763-7777,16.0,"4,577",Local Police
1223,AL,Linden Police Department,"211 North Main Street  Linden, AL 36748",334-295-8697,7.0,"2,424",Local Police
1224,AL,Lineville Police Department,"Post Office Box 247  Lineville, AL 36266",256-396-2633,8.0,"2,401",Local Police
1225,AL,Lipscomb Police Department,"5512 Avenue H  Lipscomb, AL 35020",205-428-6374,7.0,"2,458",Local Police
1226,AL,Littleville Police Department,"1810 GEORGE WALLACE  Russellville, AL 35654",256-332-2474,5.0,978,Local Police
1227,AL,Livingston Police Department,"Post Office Box 1020  Livingston, AL 35470",205-652-9525,7.0,"3,297",Local Police
1228,AL,Lockhart Police Department,"Post Office Box 216  Lockhart, AL 36455",334-858-6744,1.0,548,Local Police
1230,AL,Lowndes County Sheriff's Office,"1 Washington StPO Box 157 Hayneville, AL 36040",334-548-2151,14.0,"13,473",Sheriff
1231,AL,Loxley Police Department,"2139 East Relham  Loxley, AL 36551",334-964-6000,12.0,"1,348",Local Police
1232,AL,Luverne Police Department,"64 West 6Th Street  Luverne, AL 36049",334-335-3335,10.0,"2,635",Local Police
1233,AL,Macon County Sheriff's Office,"246 County Rd 10  Tuskegee, AL 36083",334-727-2500,19.0,"24,105",Sheriff
1234,AL,Macon County Sheriff's Office,"246 County Rd 10  Tuskegee, AL 36083",334-727-2500,19.0,"24,105",Sheriff
1235,AL,Madison County Sheriff's Office,"100 Northside Sq  Huntsville, AL 35801",256-532-3712,107.0,"276,700",Sheriff
1236,AL,Madison Police Department,"100 Hughes Road  Madison, AL 35758",256-772-5600,71.0,"29,329",Local Police
1237,AL,Maplesville Police Department,"Post Office Box 09  Maplesville, AL 36750",334-366-4211,4.0,672,Local Police
1238,AL,Marengo County Sheriff's Office,"101 Dunn StPO Box 480698 Linden, AL 36748",334-295-4208,12.0,"22,539",Sheriff
1239,AL,Margaret Police Department,"125 School Street  Margaret, AL 35112",205-629-5501,5.0,"1,169",Local Police
1240,AL,Marion County Sheriff's Office,"P.O. Box 1387  Hamilton, AL 35570",205-921-7433,13.0,"31,214",Sheriff
1241,AL,Marion Police Department,"Post Office Box 959  Marion, AL 36756",334-683-9071,6.0,"3,511",Local Police
1242,AL,Marshall County Sheriff's Office,"423 Blount Ave  Guntersville, AL 35976",256-582-2034,40.0,"82,231",Sheriff
1245,AL,Mentone Police Department,"Post Office Box 295  Mentone, AL 35984",256-634-4444,2.0,451,Local Police
1246,AL,Midfield Police Department,"725 Bessemer Super Highway  Midfield, AL 35228",205-923-7575,12.0,"5,626",Local Police
1247,AL,Midland City Police Department,"Post Office Box 69  Midland City, AL 36350",334-983-3591,4.0,"1,703",Local Police
1248,AL,Millbrook Police Department,"Post Office Box 630  Millbrook, AL 36054",334-285-6832,28.0,"10,386",Local Police
1249,AL,Millport Police Department,"Post Office Box 365  Millport, AL 35576",205-662-4228,1.0,"1,160",Local Police
1250,AL,Millry Police Department,"Post Office Box 563  Millry, AL 36558",334-846-2508,3.0,615,Local Police
1252,AL,Mobile County Sheriff's Office,"P.O. Box 113  Mobile, AL 36601",334-694-3205,170.0,"399,843",Sheriff
1253,AL,Mobile Police Department,"2460 Government Boulevard  Mobile, AL 36606",334-208-1915,515.0,"198,915",Local Police
1254,AL,Monroe County Sheriff's Office,"65 N Alabama AveMonroe Co. Courthouse Rm. 136 Monroeville, AL 36460",334-575-2963,18.0,"24,324",Sheriff
1255,AL,Monroeville Police Department,"57 South Mt. Pleasant Avenue  Monroeville, AL 36460",334-575-5518,24.0,"6,862",Local Police
1257,AL,Montgomery County Sheriff's Office,"P.O. Box 4219115 S Perry St Montgomery, AL 36103",334-832-2593,126.0,"223,510",Sheriff
1258,AL,Montgomery Police Department,"320 North Ripley Street  Montgomery, AL 36104",334-241-2814,500.0,"201,568",Local Police
1259,AL,Moody Police Department,"2900 Daniel Drive  Moody, AL 35004",205-640-5121,18.0,"8,053",Local Police
1260,AL,Morgan County Sheriff's Office,"119 Lee St Ne  Decatur, AL 35601",256-351-4800,55.0,"111,064",Sheriff
1261,AL,Morris Police Department,"Post Office Box 163  Morris, AL 35116",205-647-0597,6.0,"1,827",Local Police
1262,AL,Mosses Police Department,"P.O.Box 296  Hayneville, AL 36040",334-563-9400,1.0,"1,101",Local Police
1263,AL,Moulton Police Department,"14220 Court Street  Moulton, AL 35650",256-974-3961,12.0,"3,260",Local Police
1264,AL,Moundville Police Department,"Post Office Box 98  Moundville, AL 35474",205-371-2218,7.0,"1,809",Local Police
1266,AL,Mountain Brook Police Department,"100 Tibbett Street  Mountain Brook, AL 35213",205-879-0486,48.0,"20,604",Local Police
1267,AL,Muscle Shoals Police Department,"Post Office Box 2624  Muscle Shoals, AL 35662",256-383-6746,34.0,"11,924",Local Police
1268,AL,Napier Field Police Department,"400 Headquarters Street  Napier Field, AL 36303",334-983-3027,1.0,404,Local Police
1269,AL,New Brockton Police Department,"Post Office Box 70  New Brockton, AL 36351",334-894-5559,3.0,"1,250",Local Police
1270,AL,New Hope Police Department,"Post Office Box 419  New Hope, AL 35760",256-723-8443,6.0,"2,539",Local Police
1271,AL,New Site Police Department,"12791 Highway 22 East  New Site, AL 36256",256-234-2049,1.0,848,Local Police
1272,AL,Newton Police Department,"9 North College Street  Newton, AL 36352",334-299-3361,3.0,"1,708",Local Police
1273,AL,North Courtland Police Department,"Post Office Box 93  North Courtland, AL 35618",256-637-6378,3.0,799,Local Police
1274,AL,Northport Police Department,"3721 26Th Avenue Post Office Bx 569 Northport, AL 35476",205-339-6600,61.0,"19,435",Local Police
1276,AL,Notasulga Police Department,"76 West Main Street  Notasulga, AL 36866",334-257-3444,3.0,916,Local Police
1278,AL,Odenville Police Department,"Post Office Box 113  Odenville, AL 35953",205-629-6366,8.0,"1,131",Local Police
1279,AL,Ohatchee Police Department,"Post Office Box 645  Ohatchee, AL 36271",256-892-3232,6.0,"1,215",Local Police
1280,AL,Oneonta Police Department,"302 2nd St. N  Oneonta, AL 35121",205-625-4351,18.0,"5,576",Local Police
1281,AL,Opelika Police Department,"Post Office Box 2485  Opelika, AL 36803",334-705-5200,71.0,"23,498",Local Police
1282,AL,Opp Police Department,"Post Office Box 610  Opp, AL 36467",334-493-4511,21.0,"6,607",Local Police
1283,AL,Orange Beach Police Department,"Post Office Box 1039  Orange Beach, AL 36561",334-981-9777,37.0,"3,784",Local Police
1285,AL,Oxford Police Department,"Post Office Box 3383  Oxford, AL 36203",256-831-3121,48.0,"14,592",Local Police
1286,AL,Ozark Police Department,"Post Office Box 1987  Ozark, AL 36361",334-774-6803,42.0,"15,119",Local Police
1287,AL,Parrish Police Department,"Post Office Box 89  Parrish, AL 35580",205-686-9928,5.0,"1,268",Local Police
1288,AL,Pelham Police Department,"3162 Pelham Parkway  Pelham, AL 35124",205-620-6550,67.0,"14,369",Local Police
1289,AL,Pell City Police Department,"1905 First Avenue North  Pell City, AL 35125",205-884-3335,30.0,"9,565",Local Police
1290,AL,Pennington Police Department,"Post Office Box 40  Pennington, AL 36916",205-654-2526,1.0,353,Local Police
1291,AL,Perry County Sheriff's Office,"300 Washington St CourthousePO Box 157 Marion, AL 36756",334-683-6534,7.0,"11,861",Sheriff
1293,AL,Phil Campbell Police Department,"Post Office Box 489  Phil Campbell, AL 35581",205-993-5313,2.0,"1,091",Local Police
1294,AL,Pickens County Sheriff's Office,"P.O. Box 226  Carrollton, AL 35447",205-367-2000,7.0,"20,949",Sheriff
1295,AL,Pickensville Police Department,"16831 Highway 14  Pickensville, AL 35447",205-373-2068,1.0,662,Local Police
1296,AL,Piedmont Police Department,"Post Office Box 112  Piedmont, AL 36272",256-447-9091,14.0,"5,120",Local Police
1297,AL,Pike County Sheriff's Office,"120 W Church StCounty Courthouse Troy, AL 36081",334-566-4347,16.0,"29,605",Sheriff
1298,AL,Pinckard Police Department,"Post Office Box 202  Pinckard, AL 36371",334-983-3517,2.0,667,Local Police
1299,AL,Pine Hill Police Department,"Post Office Drawer 397  Pine Hill, AL 36769",334-963-4351,5.0,966,Local Police
1301,AL,Pleasant Grove Police Department,"501 Park Road  Pleasant Grove, AL 35127",205-744-7221,20.0,"9,983",Local Police
1303,AL,Powell Police Department,"110 . Broad Street North  Powell, AL 35971",256-638-4283,2.0,926,Local Police
1304,AL,Prattville Police Department,"101 West Main Street  Prattville, AL 36067",334-361-3630,79.0,"24,303",Local Police
1305,AL,Priceville Police Department,"242 Marco Drive  Priceville, AL 35603",256-355-5476,4.0,"1,631",Local Police
1306,AL,Prichard Police Department,"216 East Prichard Lane  Prichard, AL 36610",334-452-2211,39.0,"28,633",Local Police
1307,AL,Ragland Police Department,"146 Church Street  Ragland, AL 35131",205-472-2151,3.0,"1,918",Local Police
1308,AL,Rainbow City Police Department,"3700 Rainbow Drive  Rainbow City, AL 35906",256-442-2513,21.0,"8,428",Local Police
1309,AL,Rainsville Police Department,"Post Office Box 309  Rainsville, AL 35986",256-638-2157,11.0,"4,499",Local Police
1310,AL,Ranburne Police Department,"Post Office Box 219  Ranburne, AL 36273",256-568-3483,2.0,459,Local Police
1311,AL,Randolph County Sheriff's Office,"P.O. Box 347  Wedowee, AL 36278",256-357-4545,14.0,"22,380",Sheriff
1312,AL,Red Bay Police Department,"Post Office Box 2002  Red Bay, AL 35582",256-356-4455,7.0,"3,374",Local Police
1313,AL,Reform Police Department,"Post Office Box 489  Reform, AL 35481",205-375-6363,5.0,"1,978",Local Police
1316,AL,Roanoke Police Department,"P.O. Box 1270  Roanoke, AL 36274",334-863-2121,24.0,"6,563",Local Police
1317,AL,Robertsdale Police Department,"Post Office Box 429  Robertsdale, AL 36567",334-947-2222,13.0,"3,782",Local Police
1319,AL,Rogersville Police Department,"Post Office Box 540  Rogersville, AL 35652",256-247-0740,2.0,"1,199",Local Police
1320,AL,Russell County Sheriff's Office,"305 Prentiss DrPO Box 640 Phenix City, AL 36868",334-298-6535,32.0,"49,756",Sheriff
1321,AL,Russellville Police Department,"Post Office Box 1000  Russellville, AL 35653",256-332-2230,25.0,"8,971",Local Police
1322,AL,Samson Police Department,"13 East Main Street  Samson, AL 36477",334-898-7118,5.0,"2,071",Local Police
1323,AL,Saraland Police Department,"716 Saraland Boulevard South  Saraland, AL 36571",334-679-5561,37.0,"12,288",Local Police
1324,AL,Sardis City Police Department,"1335 Sardis Drive  Sardis City, AL 35956",256-593-6492,4.0,"1,438",Local Police
1325,AL,Satsuma Police Department,"Post Office Box 517  Satsuma, AL 36572",334-675-0151,15.0,"5,687",Local Police
1326,AL,Scottsboro Police Department,"23123 John T. Reid Parkway  Scottsboro, AL 35769",256-574-4468,44.0,"14,762",Local Police
1328,AL,Section Police Department,"Post Office Box 310  Section, AL 35771",256-228-4210,2.0,769,Local Police
1329,AL,Selma Police Department,"1300 Alabama Avenue  Selma, AL 36703",334-874-6611,50.0,"20,512",Local Police
1330,AL,Sheffield Police Department,"Post Office Box 637  Sheffield, AL 35660",256-383-1771,27.0,"9,652",Local Police
1331,AL,Shelby County Sheriff's Office,"P.O. Box 1095380 McDow Rd Columbiana, AL 35051",205-669-4181,119.0,"143,293",Sheriff
1332,AL,Shorter Police Department,"Post Office Box 117  Shorter, AL 36075",334-727-9190,5.0,355,Local Police
1333,AL,Silas Police Department,"368 1St StPOB 147 Silas, AL 36919",334-542-9505,1.0,529,Local Police
1336,AL,Skyline Police Department,"21638 Ala. Highway 79  Scottsboro, AL 35768",256-587-3335,1.0,843,Local Police
1337,AL,Slocomb Police Department,"Post Office Box 1147  Slocomb, AL 36375",334-886-2334,6.0,"2,052",Local Police
1338,AL,Snead Police Department,"Post Office Box 505  Snead, AL 35952",205-466-5900,5.0,748,Local Police
1339,AL,Somerville Police Department,"Post Office Box 155  Somerville, AL 35670",256-778-8282,4.0,347,Local Police
1340,AL,Southside Police Department,"2255 Highway 77  Southside, AL 35907",256-442-2255,8.0,"7,036",Local Police
1341,AL,Spanish Fort Police Department,"30500 St. Highway 181, Suite  618  Spanish Fort, AL 36527",334-626-4884,14.0,"5,423",Local Police
